id,place_id,name,rating,review_count,latitude,longitude,address,created_at,area
21,ChIJswjIugXV1IkREVFWCQqEj64,Cowboy Fitness Markham,4.7,60,43.871059,-79.3431316,"50 Lockridge Ave, Markham, ON L3R, Canada",2/26/2026,Markham
22,ChIJB0IFcR3V1IkR5M2SYbXWg5Q,Oasis Fitness,5,421,43.8370514,-79.3205575,"7550 Birchmount Rd unit 105, Markham, ON L3R 6C6, Canada",2/26/2026,Markham
23,ChIJk-8qb8rV1IkRUY3YfkatlwY,OXYGEN Fitness Club,4.9,253,43.834381,-79.3550921,"7880 Woodbine Ave, Markham, ON L3R 2N7, Canada",2/26/2026,Markham
24,ChIJCW6l8HLW1IkRBwss57MIHpU,Markville Fitness,4.4,236,43.8751144,-79.2810897,"190 Bullock Dr, Markham, ON L3P 7N3, Canada",2/26/2026,Markham
25,ChIJGfke-vzV1IkRgEW4U3woSfI,"The Markham Gym - Personal Training, Massage Therapy, Functional Fitness",4.8,190,43.8753746,-79.2783435,"166 bullock drive, Units 6 & 7, Markham, ON L3P 1W2, Canada",2/26/2026,Markham
26,ChIJsxyc41fU1IkREQJeObFdRP8,Unionville Athletic Club,4.3,255,43.854091,-79.33419,"8500 Warden Ave., Markham, ON L6G 1A5, Canada",2/26/2026,Markham
27,ChIJJWhYe8Ip1YkRUB2lHSnokJE,Iron Fitness Strength Club,4.8,149,43.9055482,-79.26656,"9833 Markham Rd, Markham, ON L6E 0E5, Canada",2/26/2026,Markham
28,ChIJHYsAIOrU1IkRVu8ux9gIn_c,LA Fitness,3.9,1568,43.8511386,-79.3565881,"8555 Woodbine Ave, Markham, ON L3R 4X9, Canada",2/26/2026,Markham
29,ChIJH_38MlvU1IkR8mDX2-VDmh0,GoodLife Fitness Markham Birchmount and Enterprise,4.1,842,43.84918,-79.32332,"169 Enterprise Blvd, Markham, ON L6G 0E7, Canada",2/26/2026,Markham
30,ChIJreaJS8DU1IkRmMAZ5io8RXA,Fit4Less,3.9,660,43.847886,-79.359842,"71 Cochrane Dr, Markham, ON L3R 9S1, Canada",2/26/2026,Markham
31,ChIJt42UpP3T1IkRc_8JHS9Sp24,FITting Room Fitness Studio,5,210,43.8214285,-79.3306166,"351 Ferrier St Unit 7, Markham, ON L3R 2Z5, Canada",2/26/2026,Markham
32,ChIJWUWlrlDT1IkR7xIr7n_PEFg,Snap Fitness Markham,4.7,265,43.8193538,-79.3421571,"7261 Victoria Park Ave, Markham, ON L3R 2M7, Canada",2/26/2026,Markham
